latitude_ocorrencia,longitude_ocorrencia
-228.600.881,-434.863.223
-228.341.317,-432.921.627
-229.816.912,-431.962.577
-228.920.364,-432.679
-228.968.333,-434.877.927
-228.920.364,-432.679
-229.669.151,-43.179
-229.325.728,-432.410.248
-229.079.866,-432.660.959
-228.941.141,-433.226.422
-228.649.615,-43.261.191
-228.942.464,-433.211.096
-229.347.612,-433.933.607
-228.385.252,-433.445.066
-228.780.979,-434.483.194
-229.196.515,-436.843.877
-229.252.336,-432.053.404
-229.325.728,-432.410.248
-229.478.344,-431.940.703
-22.801.801,-433.185.535
-2.285.677,-43.489.902
-22.895.332,-432.957.776
-22.912.764,-43.297.222
-230.136.663,-434.634.068
-228.749.746,-43.351.177
-228.427.263,-433.730.742
-22.849.012.600.000.000,-433.640.456
-22.870.536,-43.479.764
-228.588.961,-434.870.104
-228.603.985,-432.821.082
-229.078.627,-43.265.928.099.999.900
-229.213.803,-432.641.528
-22.863.027,-432.650.444
-22.915.274,-4.327.875
-229.100.133,-433.779.154
-229.075.126,-432.668.791
-228.427.263,-433.730.742
-229.077.975,-434.211.704
-228.654.866,-432.619.815
-229.144.036,-433.779.073
-22.948.371,-43.193.533
-228.639.186,-432.476.439
-22.899.885,-43.361.094
-22.871.665,-432.561.132
-228.973.746,-432.606.318
-2.288.264,-43.248.896
-228.648.423,-434.771.013
-229.006.822,-433.593.762
-22.883.525,-4.325.423
-22.866.788,-434.650.595
-228.603.985,-432.821.082
-229.133.843,-434.156.717
-228.268.424,-433.921.702
-22.902.372,-43.360.602
-228.604.175,-432.819.875
-228.820.321,-432.496.748
-228.386.085,-43.362.417
-228.992.158,-433.687.431
-229.008.595,-433.546.326
-228.813.939,-432.681.728
-229.049.296,-433.579.806
-22.847.331,-432.754
-228.875.573,-432.581.953
-22.901.324,-4.336.222
-22.893.824,-433.217.889
-228.240.527,-433.746.055
-228.669.903,-434.804.783
-228.968.333,-434.877.927
-229.048.084,-433.550.791
-228.994.965,-43.355.256
-228.993.569,-43.355.779
-228.921.374,-434.196.031
-229.034.755,-433.559.967
-229.126.441,-432.835.947
-229.015.549,-43.361.263
-229.052.507,-432.340.127
-229.015.549,-43.361.263
-228.323.261,-433.188.522
-22.875.874,-43.473.862
-22.890.053,-432.175.842
-22.825.899,-43.387.078
-22.977.615,-435.897.351
-228.659.594,-433.099.565
-229.939.022,-432.358.343
-228.235.797,-433.582.608
-229.602.869,-431.673.802
-230.016.562,-433.882.029
-22.865.177,-43.476.698.999.999.900
-22.862.115,-43.490.855
-229.220.424,-432.146.508
-228.742.263,-434.685.442
-229.604.902,-431.697.401
-22.806.208,-43.332.446
-228.564.826,-433.849.845
-229.481.688,-433.626.721
-229.045.421,-432.987.082
-22.847.242,-43.275.433
-228.622.295,-434.864.963
-228.587.984,-432.476.958
-229.002.778,-431.952.778
-22.841.861,-432.874.905
-228.606.286,-432.630.267
-228.761.598,-433.078.797
-228.604.006,-434.884.116
-22.843.659,-43.286.746
-229.255.441,-431.921.025
-22.943.539,-43.241.424
-228.740.996,-434.787.222
-228.696.902,-433.167.235
-229.196.001,-432.855.347
-228.112.389,-433.193.931
-228.683.062,-433.044.361
-228.763.889,-433.033.333
-228.733.699,-434.570.508
-228.550.195,-434.971.339
-228.401.095,-433.780.741
-228.478.868,-433.724.155
-228.074.249,-43.318.053
-22.844.034,-433.749.929
-229.640.068,-431.898.666
-229.195.367,-432.015.238
-229.124.139,-43.355.695
-229.195.367,-432.015.238
-228.894.108,-432.295.405
-22.819.309,-433.882.679
-228.763.107,-434.302.937
-22.869.157,-433.183.175
-22.891.049,-43.425.203
-228.348.294,-432.763.993
-228.915.772,-434.186.007
-228.696.902,-433.167.235
-229.253.062,-43.219.771
-229.651.767,-431.942.837
-229.130.119,-43.253.486
-228.469.239,-432.969.005
-228.622.904,-434.865.673
-228.615.397,-432.741.434
-228.612.593,-432.758.573
-229.645.712,-431.897.517
-228.480.736,-432.788.365
-228.713.139,-434.870.391
-228.343.217,-432.914.454
-228.649.615,-43.261.191
-22.943.393,-43.241.729
-228.648.423,-434.771.013
-228.604.006,-434.884.116
-22.801.649,-43.190.072
-228.624.406,-432.747.796
-22.846.732,-43.275.743
-228.624.406,-432.747.796
-228.604.006,-434.884.116
-22.845.836,-43.279.567
-229.080.243,-432.326.915
-229.103.589,-434.179.354
-22.876.026,-43.305.513
-228.238.795,-433.981.236
-229.481.688,-433.626.721
-228.608.162,-43.274.195
-229.027.276,-432.486.912
-229.903.762,-435.953.505
-228.622.148,-432.743.017
-229.079.866,-432.660.959
-22.913.075,-43.253.479
-228.912.574,-432.225.078
-229.259.539,-432.487.131
